"filename","lookout_ppv","lookout_npv","N","lookout_true_pos","lookout_true_neg","lookout_false_pos","lookout_false_neg","lookout_accuracy","lookout_sensitivity","lookout_specificity","lookout_gmean","lookout_precision","lookout_recall","lookout_fmeasure","hdoutliers_ppv","hdoutliers_npv","N.1","hdoutliers_true_pos","hdoutliers_true_neg","hdoutliers_false_pos","hdoutliers_false_neg","hdoutliers_accuracy","hdoutliers_sensitivity","hdoutliers_specificity","hdoutliers_gmean","hdoutliers_precision","hdoutliers_recall","hdoutliers_fmeasure","stray_ppv","stray_npv","N.2","stray_true_pos","stray_true_neg","stray_false_pos","stray_false_neg","stray_accuracy","stray_sensitivity","stray_specificity","stray_gmean","stray_precision","stray_recall","stray_fmeasure"
"multiple_C2_P02_V07_CNA",0,0.98019801980198,1830,0,1782,12,36,0.973770491803279,0,0.993311036789298,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C2_P02_V08_CNA",0.0909090909090909,0.980758658603628,1830,1,1784,10,35,0.975409836065574,0.0277777777777778,0.994425863991081,0.166201506209838,0.0909090909090909,0.0277777777777778,0.0425531914893617,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C2_P05_V01_CNA",0.333333333333333,0.951569984034061,1888,3,1788,6,91,0.948622881355932,0.0319148936170213,0.996655518394649,0.178348408578216,0.333333333333333,0.0319148936170213,0.058252427184466,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C2_P05_V02_CNA",0.375,0.951595744680851,1888,3,1789,5,91,0.949152542372881,0.0319148936170213,0.997212931995541,0.178398275322817,0.375,0.0319148936170213,0.0588235294117647,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C2_P05_V04_CNA",0.375,0.951595744680851,1888,3,1789,5,91,0.949152542372881,0.0319148936170213,0.997212931995541,0.178398275322817,0.375,0.0319148936170213,0.0588235294117647,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C2_P05_V05_CNA",0.333333333333333,0.951569984034061,1888,3,1788,6,91,0.948622881355932,0.0319148936170213,0.996655518394649,0.178348408578216,0.333333333333333,0.0319148936170213,0.058252427184466,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C2_P05_V06_CNA",0.666666666666667,0.953166577967004,1888,6,1791,3,88,0.951800847457627,0.0638297872340425,0.998327759197324,0.252434245813447,0.666666666666667,0.0638297872340425,0.116504854368932,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C2_P05_V07_CNA",0.625,0.952659574468085,1888,5,1791,3,89,0.951271186440678,0.0531914893617021,0.998327759197324,0.230439884531381,0.625,0.0531914893617021,0.0980392156862745,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C2_P05_V08_CNA",0.625,0.952659574468085,1888,5,1791,3,89,0.951271186440678,0.0531914893617021,0.998327759197324,0.230439884531381,0.625,0.0531914893617021,0.0980392156862745,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C2_P05_V09_CNA",0.571428571428571,0.952153110047847,1888,4,1791,3,90,0.950741525423729,0.0425531914893617,0.998327759197324,0.206111698615748,0.571428571428571,0.0425531914893617,0.0792079207920792,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C3_P02_V01_CNA",0,0.98019801980198,1830,0,1782,12,36,0.973770491803279,0,0.993311036789298,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C3_P02_V03_CNA",0,0.98019801980198,1830,0,1782,12,36,0.973770491803279,0,0.993311036789298,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C3_P02_V05_CNA",0,0.98019801980198,1830,0,1782,12,36,0.973770491803279,0,0.993311036789298,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C3_P02_V06_CNA",0,0.98019801980198,1830,0,1782,12,36,0.973770491803279,0,0.993311036789298,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C3_P02_V09_CNA",0,0.98019801980198,1830,0,1782,12,36,0.973770491803279,0,0.993311036789298,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C3_P02_V10_CNA",0,0.98019801980198,1830,0,1782,12,36,0.973770491803279,0,0.993311036789298,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C3_P05_V03_CNA",0,0.949920085242408,1888,0,1783,11,94,0.944385593220339,0,0.99386845039019,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C3_P05_V05_CNA",0,0.949920085242408,1888,0,1783,11,94,0.944385593220339,0,0.99386845039019,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C3_P05_V06_CNA",0,0.949920085242408,1888,0,1783,11,94,0.944385593220339,0,0.99386845039019,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C3_P05_V07_CNA",0,0.949920085242408,1888,0,1783,11,94,0.944385593220339,0,0.99386845039019,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C3_P05_V08_CNA",0,0.949920085242408,1888,0,1783,11,94,0.944385593220339,0,0.99386845039019,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0,0,0.95021186440678,1888,0,1794,0,94,0.95021186440678,0,1,0,0,0,0
"multiple_C4_P02_V02_CNA",0,0.980241492864984,1831,0,1786,9,36,0.975423265974877,0,0.994986072423398,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0
"multiple_C4_P02_V03_CNA",0,0.98021978021978,1831,0,1784,11,36,0.974330966684872,0,0.993871866295265,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0
"multiple_C4_P02_V04_CNA",0,0.98021978021978,1831,0,1784,11,36,0.974330966684872,0,0.993871866295265,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0
"multiple_C4_P02_V05_CNA",0,0.98021978021978,1831,0,1784,11,36,0.974330966684872,0,0.993871866295265,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0
"multiple_C4_P02_V06_CNA",0,0.98021978021978,1831,0,1784,11,36,0.974330966684872,0,0.993871866295265,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0
"multiple_C4_P02_V07_CNA",0,0.980241492864984,1831,0,1786,9,36,0.975423265974877,0,0.994986072423398,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0
"multiple_C4_P02_V08_CNA",0,0.980241492864984,1831,0,1786,9,36,0.975423265974877,0,0.994986072423398,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0
"multiple_C4_P02_V10_CNA",0,0.98021978021978,1831,0,1784,11,36,0.974330966684872,0,0.993871866295265,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0,0,0.980338612779902,1831,0,1795,0,36,0.980338612779902,0,1,0,0,0,0
"multiple_C4_P05_V03_CNA",0,0.949946751863685,1889,0,1784,11,94,0.944415034409741,0,0.993871866295265,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C4_P05_V04_CNA",0,0.950026581605529,1889,0,1787,8,94,0.946003176283748,0,0.995543175487465,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C4_P05_V05_CNA",0,0.949946751863685,1889,0,1784,11,94,0.944415034409741,0,0.993871866295265,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C4_P05_V06_CNA",0,0.950026581605529,1889,0,1787,8,94,0.946003176283748,0,0.995543175487465,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C4_P05_V07_CNA",0,0.949946751863685,1889,0,1784,11,94,0.944415034409741,0,0.993871866295265,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.95021186440678,1889,0,1794,1,94,0.949708840656432,0,0.999442896935933,0,0,0,0
"multiple_C4_P05_V08_CNA",0,0.949973390101118,1889,0,1785,10,94,0.94494441503441,0,0.994428969359331,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C4_P05_V10_CNA",0,0.949920085242408,1889,0,1783,12,94,0.943885653785071,0,0.993314763231198,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0,0,0.950238221281101,1889,0,1795,0,94,0.950238221281101,0,1,0,0,0,0
"multiple_C5_P02_V01_CNA",0.2,0.980821917808219,1830,1,1790,4,35,0.978688524590164,0.0277777777777778,0.997770345596433,0.166480758447438,0.2,0.0277777777777778,0.048780487804878,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C5_P02_V02_CNA",0.2,0.980821917808219,1830,1,1790,4,35,0.978688524590164,0.0277777777777778,0.997770345596433,0.166480758447438,0.2,0.0277777777777778,0.048780487804878,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C5_P02_V04_CNA",0.2,0.980821917808219,1830,1,1790,4,35,0.978688524590164,0.0277777777777778,0.997770345596433,0.166480758447438,0.2,0.0277777777777778,0.048780487804878,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C5_P02_V05_CNA",0.333333333333333,0.981359649122807,1830,2,1790,4,34,0.979234972677596,0.0555555555555556,0.997770345596433,0.235439346470526,0.333333333333333,0.0555555555555556,0.0952380952380952,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C5_P02_V06_CNA",0.2,0.980821917808219,1830,1,1790,4,35,0.978688524590164,0.0277777777777778,0.997770345596433,0.166480758447438,0.2,0.0277777777777778,0.048780487804878,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
"multiple_C5_P02_V08_CNA",0.333333333333333,0.981359649122807,1830,2,1790,4,34,0.979234972677596,0.0555555555555556,0.997770345596433,0.235439346470526,0.333333333333333,0.0555555555555556,0.0952380952380952,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0,0,0.980327868852459,1830,0,1794,0,36,0.980327868852459,0,1,0,0,0,0
