"filename","IRT","Average","Greedy","GreedyMean","ICWA","Max","Thres","Cor90","Cor80","Cor70"
"auto6_1_C4_P05_V04_CA1",0.556923076923077,0.556980056980057,0.562905982905983,0.557834757834758,0.546894586894587,0.509230769230769,0.565213675213675,8,18,26
"auto6_1_C4_P05_V05_CA0",0.544045584045584,0.547122507122507,0.564900284900285,0.55002849002849,0.551794871794872,0.547635327635328,0.530569800569801,8,18,30
"auto6_1_C4_P05_V05_CA1",0.537378917378917,0.530769230769231,0.544501424501424,0.540854700854701,0.536752136752137,0.54991452991453,0.541082621082621,8,18,26
"auto6_1_C4_P05_V06_CA0",0.487521367521367,0.488262108262108,0.49002849002849,0.494358974358974,0.487350427350427,0.51037037037037,0.478831908831909,8,18,34
"auto6_1_C4_P05_V06_CA1",0.467350427350427,0.463076923076923,0.467920227920228,0.476695156695157,0.473276353276353,0.499173789173789,0.464245014245014,8,18,24
"auto6_1_C4_P05_V07_CA0",0.477606837606838,0.483703703703704,0.472079772079772,0.482393162393162,0.496752136752137,0.486267806267806,0.480712250712251,8,18,34
"auto6_1_C4_P05_V07_CA1",0.493447293447293,0.484102564102564,0.484615384615385,0.491168091168091,0.474643874643875,0.487549857549858,0.478461538461538,8,18,26
"auto6_1_C4_P05_V08_CA0",0.522849002849003,0.525925925925926,0.501823361823362,0.501823361823362,0.53025641025641,0.509145299145299,0.521965811965812,8,18,30
"auto6_1_C4_P05_V08_CA1",0.528376068376068,0.523874643874644,0.527293447293447,0.506552706552707,0.495156695156695,0.527407407407407,0.521082621082621,8,18,26
"auto6_1_C4_P05_V09_CA0",0.42985754985755,0.43008547008547,0.432250712250712,0.435270655270655,0.426210826210826,0.418404558404558,0.414074074074074,8,18,32
"auto6_1_C4_P05_V09_CA1",0.454245014245014,0.46017094017094,0.439259259259259,0.445698005698006,0.491851851851852,0.454415954415954,0.454017094017094,8,18,28
"auto6_1_C4_P05_V10_CA0",0.583532763532764,0.578005698005698,0.574074074074074,0.572820512820513,0.580911680911681,0.562962962962963,0.572962962962963,8,18,30
"auto6_1_C4_P05_V10_CA1",0.587293447293447,0.587863247863248,0.578005698005698,0.57965811965812,0.587920227920228,0.594415954415954,0.576866096866097,8,18,24
"auto6_1_C5_P02_V01_CA0",0.626860584024543,0.630723781388479,0.644017725258493,0.637768435405068,0.622202022497443,0.657538916032269,0.635495966367458,8,18,32
"auto6_1_C5_P02_V01_CA1",0.633791614589251,0.656061811157823,0.642767867287808,0.639700034087036,0.665265310760141,0.639813657538916,0.655493693898421,8,20,26
