"N","iter","n","V1","V2","V3","V4","V5"
2000,23,4,0.269999999999982,0,0.259999999999309,NA,NA
2000,23,4,0.299999999999955,0,0.289999999999964,NA,NA
20000,61,4,3.48000000000002,0.189999999999998,3.94999999999982,NA,NA
20000,61,4,3.77999999999997,0.0300000000000011,4.03000000000065,NA,NA
20000,61,4,4.26999999999998,0.0300000000000011,5.11000000000058,NA,NA
20000,61,4,3.58999999999992,0.0799999999999983,3.67000000000007,NA,NA
20000,61,4,3.04999999999995,0.019999999999996,3.09000000000015,NA,NA
20000,61,4,3.40000000000009,0,3.42000000000007,NA,NA
20000,61,4,3.01999999999998,0,3.02999999999975,NA,NA
20000,61,4,3.34999999999991,0.0100000000000051,3.39000000000033,NA,NA
20000,61,4,2.98000000000002,0,3,NA,NA
20000,61,4,3.36999999999989,0,3.39000000000033,NA,NA
20000,61,4,2.90999999999985,0.019999999999996,2.97000000000025,NA,NA
20000,61,4,3.27999999999997,0,3.27999999999975,NA,NA
20000,61,4,2.93000000000006,0.0100000000000051,2.94999999999982,NA,NA
20000,61,4,3.2800000000002,0,3.31999999999971,NA,NA
20000,61,4,3.01999999999998,0,3.11000000000058,NA,NA
20000,61,4,3.6099999999999,0.019999999999996,3.86000000000058,NA,NA
20000,61,4,3.29999999999995,0,3.38999999999942,NA,NA
20000,61,4,3.8900000000001,0.0300000000000011,4.22000000000025,NA,NA
20000,61,4,3.81999999999994,0.0499999999999972,4.03000000000065,NA,NA
20000,61,4,3.79999999999995,0.0600000000000023,4.51000000000022,NA,NA
2e+05,66,4,37.0799999999999,9.17000000000002,47.6599999999999,NA,NA
2e+05,66,4,28.8699999999999,8.98000000000002,38.8900000000012,NA,NA
2e+05,66,4,31.1500000000001,10.23,42.9700000000012,NA,NA
2e+05,66,4,28.2,8.31,36.7000000000007,NA,NA
2e+05,66,4,30.4299999999998,8.78,39.8600000000006,NA,NA
200,52,5,0.379999999999654,0,0.430000000000291,NA,NA
200,52,5,0.389999999999873,0,0.389999999999418,NA,NA
200,52,5,0.369999999999891,0,0.380000000001019,NA,NA
200,52,5,0.440000000000055,0,0.460000000000946,NA,NA
200,52,5,0.360000000000127,0,0.360000000000582,NA,NA
200,52,5,0.409999999999854,0,0.420000000000073,NA,NA
200,52,5,0.400000000000091,0,0.420000000000073,NA,NA
200,52,5,0.4699999999998,0,0.520000000000437,NA,NA
200,52,5,0.349999999999909,0,0.360000000000582,NA,NA
200,52,5,0.339999999999691,0,0.350000000000364,NA,NA
200,52,5,0.420000000000073,0,0.450000000000728,NA,NA
200,52,5,0.379999999999654,0,0.380000000001019,NA,NA
200,52,5,0.579999999999927,0.0800000000000125,0.670000000000073,NA,NA
200,52,5,0.369999999999891,0,0.389999999999418,NA,NA
200,52,5,0.379999999999654,0,0.389999999999418,NA,NA
200,52,5,0.760000000000218,0.0499999999999829,0.809999999999491,NA,NA
200,52,5,0.449999999999818,0,0.470000000001164,NA,NA
200,52,5,0.590000000000146,0.00999999999999091,0.659999999999854,NA,NA
200,52,5,0.329999999999927,0,0.329999999999927,NA,NA
200,52,5,0.420000000000073,0.00999999999999091,0.460000000000946,NA,NA
2000,15,5,0.400000000000091,0.0799999999999841,0.590000000000146,NA,NA
2000,15,5,0.169999999999618,0,0.170000000000073,NA,NA
2000,15,5,0.170000000000073,0,0.180000000000291,NA,NA
2000,15,5,0.159999999999854,0,0.159999999999854,NA,NA
2000,15,5,0.200000000000273,0,0.199999999998909,NA,NA
2000,15,5,0.25,0.0300000000000011,0.270000000000437,NA,NA
2000,15,5,0.340000000000146,0.110000000000014,0.450000000000728,NA,NA
2000,15,5,0.230000000000018,0,0.239999999999782,NA,NA
2000,15,5,0.190000000000055,0,0.200000000000728,NA,NA
2000,15,5,0.230000000000018,0.0100000000000193,0.239999999999782,NA,NA
2000,15,5,0.2800000000002,0,0.309999999999491,NA,NA
2000,15,5,0.25,0,0.300000000001091,NA,NA
2000,15,5,0.239999999999782,0,0.25,NA,NA
